humidity,light,moisture,temperature,timestamp,hour,minute,day,week,month,year
89.64,0.0,100.0,28.06,2025-07-07 06:14:02+07:00,2025-07-07 06:00:00+07:00,14,2025-07-07 00:00:00+07:00,28,7,2025
89.63,0.0,100.0,28.04,2025-07-07 06:14:32+07:00,2025-07-07 06:00:00+07:00,14,2025-07-07 00:00:00+07:00,28,7,2025
89.62,0.0,100.0,28.04,2025-07-07 06:15:02+07:00,2025-07-07 06:00:00+07:00,15,2025-07-07 00:00:00+07:00,28,7,2025
89.65,0.0,100.0,28.06,2025-07-07 06:15:32+07:00,2025-07-07 06:00:00+07:00,15,2025-07-07 00:00:00+07:00,28,7,2025
89.66,0.0,100.0,28.06,2025-07-07 06:16:02+07:00,2025-07-07 06:00:00+07:00,16,2025-07-07 00:00:00+07:00,28,7,2025
89.67,0.0,100.0,28.03,2025-07-07 06:16:32+07:00,2025-07-07 06:00:00+07:00,16,2025-07-07 00:00:00+07:00,28,7,2025
89.69,0.0,100.0,28.06,2025-07-07 06:17:02+07:00,2025-07-07 06:00:00+07:00,17,2025-07-07 00:00:00+07:00,28,7,2025
89.69,0.0,100.0,28.06,2025-07-07 06:17:32+07:00,2025-07-07 06:00:00+07:00,17,2025-07-07 00:00:00+07:00,28,7,2025
89.77,0.0,100.0,28.09,2025-07-07 06:24:09+07:00,2025-07-07 06:00:00+07:00,24,2025-07-07 00:00:00+07:00,28,7,2025
89.76,0.0,100.0,28.07,2025-07-07 06:24:39+07:00,2025-07-07 06:00:00+07:00,24,2025-07-07 00:00:00+07:00,28,7,2025
89.76,0.0,100.0,28.09,2025-07-07 06:25:09+07:00,2025-07-07 06:00:00+07:00,25,2025-07-07 00:00:00+07:00,28,7,2025
89.71,0.0,100.0,28.09,2025-07-07 06:25:39+07:00,2025-07-07 06:00:00+07:00,25,2025-07-07 00:00:00+07:00,28,7,2025
89.7,0.0,100.0,28.1,2025-07-07 06:26:09+07:00,2025-07-07 06:00:00+07:00,26,2025-07-07 00:00:00+07:00,28,7,2025
89.68,0.0,100.0,28.1,2025-07-07 06:26:39+07:00,2025-07-07 06:00:00+07:00,26,2025-07-07 00:00:00+07:00,28,7,2025
89.66,0.0,100.0,28.1,2025-07-07 06:27:09+07:00,2025-07-07 06:00:00+07:00,27,2025-07-07 00:00:00+07:00,28,7,2025
89.66,0.0,100.0,28.12,2025-07-07 06:27:39+07:00,2025-07-07 06:00:00+07:00,27,2025-07-07 00:00:00+07:00,28,7,2025
89.69,0.0,100.0,28.12,2025-07-07 06:28:09+07:00,2025-07-07 06:00:00+07:00,28,2025-07-07 00:00:00+07:00,28,7,2025
